Company,Exchange,Ticker,Industry,Year Founded,Locations,Number of Employees,S&P Credit Rating (FC LT),S&P Credit Rating (LC LT),Type,NOSH,Price ($USD),Total Enterprise Value ($USDmm),Total Revenue ($USDmm),Gross Profit ($USDmm),EBITDA ($USDmm),EBIT ($USDmm),Net Income ($USDmm),Cash And Equivalents ($USDmm),"Net Property, Plant & Equipment ($USDmm)",Total Assets ($USDmm),Total Debt ($USDmm),Total Equity ($USDmm),Basic EPS ($USD),EPS - Capital IQ ($USD),EPS - # of Estimates Y+1,EBITDA Estimate ($USDmm),EBITDA - # of Estimates Y+1,EBIT Estimate ($USDmm),EBIT - # of Estimates Y+1,Market Cap ($USDmm),TEV/Revenue,TEV/EBITDA,TEV/EBIT,P/E
Dassault Systèmes SE ,ENXTPA,DSY,Information Technology,1981,EU,21000,A,A,Public Company,1313.9,40.37,53543.7,5527.2,4594.6,1346.7,1266.7,841.4,3388.5,929.1,16170.5,5084.5,7063.6,0.649,1.14,20,2169.6,10,1948.16,15,53042.143000000004,9.687310030395137,39.75918912898195,42.27022973079655,62.20338983050847
"Regeneron Pharmaceuticals, Inc. ",NasdaqGS,REGN,Health Care,1988,US/CA,10715,BBB+,BBB+,Public Company,106.9,603.8,53269.6,16071.7,8999.9,7376.8,7080.4,5686.8,2885.6,3482.2,25434.8,2699.7,18768.8,53.3,40.5,22,6185.8,4,5395.63,15,64546.22,3.314496910718841,7.221234139464266,7.523529744082255,11.328330206378986
ORIX Corporation ,TSE,8591,Financials,1950,APAC,32235,A-,A-,Public Company,1189.1,16.83,53249.4,20755.0,6918.2,5234.1,2799.5,2272.3,7862.9,7493.9,117517.9,42473.8,27763.2,1.9,2.01,9,4137.8,2,2836.88,7,20012.552999999996,2.5656179233919536,10.173554192697885,19.021039471334166,8.857894736842105
Alimentation Couche-Tard Inc. ,TSX,ATD,Consumer Staples,1980,US/CA,122000,BBB,BBB,Public Company,1022.1,45.06,53248.9,62809.9,11004.8,4564.7,3621.7,2683.3,2143.9,14588.4,29591.6,9474.0,12437.6,2.53,2.63,14,5098.5,15,3544.06,9,46055.826,0.8477787737283454,11.665366836812934,14.702736284065494,17.8102766798419
"L3Harris Technologies, Inc. ",NYSE,LHX,Industrials,1895,US/CA,47000,BBB,BBB,Public Company,191.4,238.44,53112.2,17814.0,5076.0,3517.0,2569.0,1911.0,941.0,2870.0,34709.0,7938.0,19319.0,9.8,13.9,14,3874.3,10,3367.4,6,45637.416,2.981486471314696,15.101563832812054,20.674270144024913,24.330612244897956
Welltower Inc. ,NYSE,WELL,Real Estate,1970,US/CA,464,BBB+,BBB+,Public Investment Firm,463.4,78.84,52971.0,4742.1,42336.9,42215.6,41030.7,390.0,269.3,30590.6,34910.3,14716.2,18997.9,0.883,0.92,11,2348.0,13,1056.78,3,36534.456,11.170367558676535,1.2547731170467789,1.2910089274616325,89.28652321630804
The Hershey Company ,NYSE,HSY,Consumer Staples,1894,US/CA,17805,A,A,Public Company,205.0,233.36,52838.6,8971.3,4319.9,2561.7,2215.8,1629.5,329.3,2937.9,10412.2,5376.1,2757.2,7.91,8.56,19,2702.3,14,2358.06,16,47838.8,5.889737273304872,20.62638091892103,23.846285765863342,29.501896333754743
A.P. Møller - Mærsk A/S ,CPSE,MAERSK B,Industrials,1904,EU,95000,BBB+,BBB+,Public Company,18.2,2550.53,52545.2,61787.0,38325.0,32382.0,28955.0,26901.0,11832.0,37209.0,72271.0,15335.0,45588.0,1438.3,1137.9,13,29602.4,18,21766.19,13,46419.646,0.8504248466505899,1.6226669137174974,1.8147193921602485,1.7732948619898494
Anglo American plc ,LSE,AAL,Materials,1917,EU,106000,BBB,BBB,Public Company,1214.1,34.5,52522.6,41554.0,24539.0,15765.0,13541.0,7054.0,9066.0,39501.0,65985.0,12933.0,34770.0,5.76,5.35,21,15946.5,20,12780.65,17,41886.45,1.2639601482408431,3.331595306057723,3.878782955468577,5.989583333333334
Atlas Copco AB ,OM,ATCO A,Industrials,1873,EU,45130,A+,A+,Public Company,4866.0,10.78,52449.9,12266.1,4931.6,2907.0,2531.6,1984.6,2100.2,1612.1,15116.2,2750.9,7479.9,0.40700000000000003,0.46399999999999997,17,3592.2,18,3002.23,20,52455.479999999996,4.276004598038496,18.04262125902993,20.71808342550166,26.486486486486484
"Midea Group Co., Ltd. ",SZSE,000333,Consumer Discretionary,1968,APAC,165799,A,A,Public Company,6869.1,7.63,52325.7,53715.6,12360.8,4835.1,3994.0,4618.8,11314.4,4382.6,61068.9,8780.0,21223.6,0.6779999999999999,0.682,24,5469.2,18,4847.55,22,52411.233,0.974124835243393,10.822051250232672,13.101076614922382,11.253687315634219
Devon Energy Corporation ,NYSE,DVN,Energy,1971,US/CA,1600,BBB,BBB,Public Company,654.8,73.72,51853.9,13117.0,10426.0,8915.0,6706.0,5265.0,2099.0,15243.0,21025.0,6760.0,9399.0,7.89,9.6,13,10763.1,8,8901.73,10,48271.85599999999,3.9531828924296715,5.816477846326416,7.732463465553236,9.343472750316858
Fresenius SE & Co. KGaA ,XTRA,FRE,Health Care,1912,EU,318647,BBB,BBB,Public Company,563.2,25.07,51603.6,42670.3,10894.8,5580.2,3825.0,1785.5,3143.4,21133.9,81840.1,30882.5,33308.3,3.19,3.43,10,7006.3,9,4301.92,7,14119.424,1.2093563907448506,9.247625533135013,13.491137254901961,7.858934169278997
Woodside Energy Group Ltd ,ASX,WDS,Energy,1954,APAC,3684,BBB+,BBB+,Public Company,1898.7,25.03,51593.7,6962.0,3117.0,4124.0,3325.0,1983.0,3025.0,20343.0,26474.0,6797.0,14229.0,2.06,3.22,13,11383.9,11,8620.89,12,47524.461,7.4107584027578275,12.510596508244422,15.516902255639097,12.150485436893204
Zijin Mining Group Company Limited ,SEHK,2899,Materials,1986,APAC,43876,BBB-,BBB-,Public Company,26329.3,1.2,51436.7,35434.7,6193.9,5782.6,4514.5,3232.3,2238.7,12125.3,32836.1,12411.1,14623.5,0.122,0.12300000000000001,11,6485.4,13,5245.28,17,31595.159999999996,1.4515912368384662,8.895081797115484,11.393664857680806,9.836065573770492
"Hon Hai Precision Industry Co., Ltd. ",TWSE,2317,Information Technology,1974,APAC,826608,A-,A-,Public Company,13861.5,3.65,51190.0,216294.7,12899.8,7880.8,5710.4,4843.5,38228.2,12642.7,141048.5,32858.7,56769.8,0.349,0.37,9,9224.5,13,6084.25,2,50594.475,0.23666784253150908,6.495533448380875,8.964345755113477,10.458452722063038
Entergy Corporation ,NYSE,ETR,Utilities,1913,US/CA,12369,BBB+,BBB+,Public Company,203.4,119.38,50881.9,11742.9,5129.2,3589.3,1629.2,1226.0,442.6,42601.7,59454.2,27366.2,11924.8,6.06,6.71,16,4349.2,7,2444.77,12,24281.892,4.332992701973107,14.175995319421613,31.231217775595383,19.6996699669967
Central Japan Railway Company ,TSE,9022,Industrials,1987,APAC,30323,A+,A+,Public Company,196.8,117.19,50724.8,7700.8,2004.4,2351.3,813.6,173.0,2731.1,44531.7,77824.3,36611.7,29721.9,0.879,7.94,12,4505.9,10,2797.39,12,23062.992000000002,6.586952004986495,21.57308722834177,62.346116027531956,133.32195676905573
Rogers Communications Inc. ,TSX,RCI.B,Communication Services,1960,US/CA,23000,BBB+,BBB+,Public Company,504.9,44.96,50378.1,11580.5,4854.6,4649.7,2843.8,1316.7,565.0,11589.2,33159.5,18052.3,8322.5,2.61,2.92,14,5108.9,13,2981.02,5,22700.304,4.350252579767713,10.834699012839538,17.71506435051691,17.226053639846743
Ørsted A/S ,CPSE,ORSTED,Utilities,1972,EU,7292,BBB+,BBB+,Public Company,420.2,105.88,50297.5,11880.6,4226.1,3024.6,1921.7,1376.4,1520.8,24686.6,41357.1,8952.1,13022.3,3.12,4.0,14,3587.1,21,2368.75,21,44490.776,4.233582478999377,16.6294716656748,26.17344018317115,33.93589743589743
Amphenol Corporation ,NYSE,APH,Information Technology,1932,US/CA,90000,BBB+,BBB+,Public Company,594.8,78.37,50222.2,10876.3,3761.8,2809.0,2410.7,1789.7,1197.1,1420.2,14678.4,5050.9,6379.1,3.0,2.96,15,3021.1,9,2580.45,14,46614.476,4.617581346597648,17.879031683873265,20.83303604762102,26.123333333333335
"Recruit Holdings Co., Ltd. ",TSE,6098,Industrials,1960,APAC,51757,A,A,Public Company,1609.3,33.69,50196.0,23648.3,13047.0,3798.9,2896.3,2233.0,5513.7,2146.2,19957.7,2235.2,11333.7,1.37,1.36,16,3945.6,12,2972.17,16,54217.316999999995,2.1226050075481115,13.213298586432915,17.33107758174222,24.591240875912405
"Wanhua Chemical Group Co., Ltd. ",SHSE,600309,Materials,1978,APAC,19692,BBB,BBB,Public Company,3139.7,12.95,50041.8,22910.0,5246.0,5249.7,4088.3,3209.5,5386.5,15460.5,29957.7,13354.9,11286.0,1.02,1.12,16,5497.2,11,4185.23,13,40659.115,2.1842776080314272,9.53231613235042,12.240246557248735,12.696078431372548
TELUS Corporation ,TSX,T,Communication Services,1998,US/CA,90800,BBB+,BBB+,Public Company,1387.0,23.46,49939.6,13305.5,4835.2,3605.5,2277.9,1430.1,571.3,12584.8,37925.2,16641.0,12689.9,1.04,1.02,14,5268.9,13,2465.32,3,32539.02,3.753305024238097,13.85094993759534,21.9235260546995,22.557692307692307
"Cadence Design Systems, Inc. ",NasdaqGS,CDNS,Information Technology,1987,US/CA,9300,BBB+,BBB+,Public Company,273.9,184.8,49929.6,2988.2,2946.4,1134.1,995.9,775.1,1088.9,436.0,4386.3,480.0,2740.7,2.84,4.08,11,1519.5,6,1394.38,11,50616.72,16.708921758918414,44.02574728859889,50.13515413194096,65.07042253521128
Johnson Controls International plc ,NYSE,JCI,Industrials,2014,EU,101000,BBB+,BBB+,Public Company,688.8,57.02,49702.0,23668.0,8239.0,3847.0,2996.0,1040.0,1336.0,4604.0,41890.0,9114.0,18753.0,1.48,3.45,21,4153.0,11,3223.67,15,39275.376,2.0999661990873753,12.9196776709124,16.589452603471294,38.52702702702703
"Roper Technologies, Inc. ",NYSE,ROP,Information Technology,1981,US/CA,19300,BBB+,BBB+,Public Company,106.0,424.62,49591.7,5777.8,4070.6,2299.5,1664.7,2866.6,351.5,323.8,23713.9,8154.1,11563.8,27.1,14.1,12,2167.0,8,1524.33,9,45009.72,8.583145834054484,21.56629702109154,29.790172403436053,15.668634686346863
"Autodesk, Inc. ",NasdaqGS,ADSK,Information Technology,1982,US/CA,12600,BBB,BBB,Public Company,217.3,220.15,49306.5,4386.4,4346.4,999.1,916.6,558.0,1528.4,467.0,8606.8,3060.0,849.1,2.56,7.17,21,2031.2,5,1938.07,17,47838.595,11.240766915921942,49.35091582424182,53.79282129609426,85.99609375
China Railway Construction Corporation Limited ,SHSE,601186,Industrials,2007,APAC,267760,A-,A-,Public Company,13579.5,1.06,49257.4,160565.8,15707.1,8846.7,6233.8,3991.6,19963.7,12018.5,212978.9,37140.4,54543.5,0.263,0.305,11,9542.2,12,6364.47,12,14394.27,0.3067739207228439,5.567884069766127,7.901665115980622,4.030418250950571
"MercadoLibre, Inc. ",NasdaqGS,MELI,Consumer Discretionary,1999,LATAM,29957,BB+,BB+,Public Company,50.3,919.18,49011.9,7069.4,4586.1,888.3,585.4,237.3,2584.6,1268.5,10101.2,3982.6,1531.7,4.74,10.3,14,1264.4,21,777.65,22,46234.75399999999,6.93296460802897,55.174940898345156,83.72377861291426,193.91983122362868
"WEC Energy Group, Inc. ",NYSE,WEC,Utilities,1896,US/CA,6938,A-,A-,Public Company,315.4,106.22,49002.1,8316.0,3184.9,3054.2,1949.8,1367.6,16.3,27001.9,38988.5,15622.9,11113.3,4.34,4.31,14,3293.2,6,1982.91,7,33501.788,5.8925084175084175,16.04416868574422,25.131859677915685,24.474654377880185
Sun Hung Kai Properties Limited ,SEHK,16,Real Estate,1972,APAC,38500,A+,A+,Public Company,2897.8,11.99,48709.8,10979.2,5151.2,4499.9,4176.7,3628.5,2787.4,5526.9,102554.8,15287.2,77213.8,1.25,1.34,12,5257.8,7,4750.82,12,34744.622,4.436552754299038,10.824640547567725,11.662269255632438,9.592
Country Garden Holdings Company Limited ,SEHK,2007,Real Estate,1992,APAC,150353,BB+,BB+,Public Company,24105.6,0.335,48653.0,82338.6,14605.4,9775.7,9490.0,4218.3,23132.9,5050.5,306703.6,50154.9,47323.5,0.192,0.149,17,8843.1,9,7959.25,14,8075.376,0.5908893277272141,4.976932598177112,5.126765015806112,1.7447916666666667
Parker-Hannifin Corporation ,NYSE,PH,Industrials,1917,US/CA,55090,BBB+,BBB+,Public Company,128.4,292.38,48607.2,15861.6,4483.3,3478.0,2906.2,1315.6,535.8,2256.2,25943.9,11616.5,8859.9,10.2,18.6,15,3664.3,8,3012.86,5,37541.592000000004,3.064457557875624,13.975618171362852,16.725345812401073,28.664705882352944
Atlantia SpA ,BIT,ATL,Industrials,1950,EU,20000,BB+,BB+,Public Company,818.8,22.7,48557.7,7159.1,4296.5,4351.9,1616.1,6817.9,6883.9,736.9,90827.9,41751.4,18275.9,8.33,0.5670000000000001,4,4417.4,5,1780.66,2,18586.76,6.782654244248578,11.157816126289667,30.046222387228514,2.7250900360144055
Ecopetrol S.A. ,BVC,ECOPETROL,Energy,1948,LATAM,18378,BB+,BB+,Public Company,41116.7,0.558,48286.0,22585.2,13876.8,14700.5,12037.0,6203.8,3576.5,31090.7,59590.6,23366.8,22266.3,0.151,0.22399999999999998,2,15262.0,8,16471.81,9,22943.1186,2.137948745195969,3.2846501819665996,4.011464650660463,3.6953642384105967
"Mitsui Fudosan Co., Ltd. ",TSE,8801,Real Estate,1941,APAC,24408,A,A,Public Company,950.8,20.73,47605.0,17300.5,3657.7,2956.8,2111.8,1438.8,1205.0,31637.1,67592.4,30199.4,23994.5,1.5,1.72,13,3105.3,11,2405.63,13,19710.084,2.751654576457328,16.100175865800864,22.542380907282883,13.82
AB Volvo (publ) ,OM,VOLV B,Industrials,1915,EU,85329,A-,A-,Public Company,2033.5,16.38,46940.2,41164.6,9002.6,4536.8,4043.4,3173.8,6870.7,10431.8,57050.3,17012.7,15938.5,1.56,1.81,16,6441.6,15,5106.27,14,33308.729999999996,1.1403050193612958,10.346543819432197,11.60909135875748,10.499999999999998
Global Payments Inc. ,NYSE,GPN,Information Technology,1967,US/CA,25000,BBB-,BBB-,Public Company,277.2,129.87,46916.3,8523.8,5040.1,3592.3,1892.2,76.9,1979.3,2181.7,45279.7,12660.6,25869.4,0.27,10.2,28,4141.5,19,3704.45,24,35999.964,5.504153077266009,13.060239957687276,24.794577740196598,481.0
Cintas Corporation ,NasdaqGS,CTAS,Industrials,1968,US/CA,43000,A-,A-,Public Company,101.2,433.33,46787.4,7854.5,3632.2,1881.3,1592.5,1235.8,90.5,1377.4,8147.3,3030.0,3308.2,11.9,12.2,15,2120.4,12,1696.7,13,43852.996,5.956763638678464,24.869717748365492,29.379843014128728,36.41428571428571
Ambev S.A. ,BOVESPA,ABEV3,Consumer Staples,1885,LATAM,53000,BBB,BBB,Public Company,15741.6,3.09,46582.8,13075.8,7339.4,3641.0,3339.6,2588.8,2984.3,5245.1,24876.2,562.0,15079.4,0.16399999999999998,0.158,7,4899.3,13,3446.13,10,48641.544,3.562520075253522,12.793957703927493,13.948616600790515,18.84146341463415
Arthur J. Gallagher & Co. ,NYSE,AJG,Financials,1927,US/CA,2200,BBB,BBB,Public Company,210.3,191.08,46482.5,7974.4,3397.2,2255.5,1695.2,1057.4,402.6,859.4,33345.0,6688.4,8560.1,5.07,8.21,14,2839.4,10,2670.05,3,40184.124,5.828965188603531,20.608512524939037,27.42006842850401,37.68836291913215
Cenovus Energy Inc. ,TSX,CVE,Energy,2009,US/CA,5938,BBB-,BBB-,Public Company,1931.1,19.65,46396.7,36631.7,11994.9,9505.1,6595.2,3260.7,2270.3,29202.1,42753.4,12185.8,18655.2,1.62,3.87,4,12515.8,8,7957.19,3,37946.115,1.2665723949475454,4.881242701286677,7.034919335274139,12.129629629629628
NTPC Limited ,NSEI,NTPC,Utilities,1975,APAC,15786,BBB-,BBB-,Public Company,9696.7,2.04,46093.4,17481.8,7500.7,5354.1,3554.2,2176.8,96.0,41556.2,54884.4,27770.2,18333.7,0.225,0.233,15,5000.6,14,3447.83,5,19781.268,2.6366506881442415,8.608991240357856,12.968713071858646,9.066666666666666
Adyen N.V. ,ENXTAM,ADYEN,Information Technology,2006,EU,2575,A-,A-,Public Company,31.0,1661.95,46085.5,6818.4,923.9,734.8,713.4,571.8,5249.7,228.6,6568.4,162.6,2058.9,18.6,23.6,20,980.4,24,919.24,24,51520.450000000004,6.75899037897454,62.71842678279804,64.59980375665826,89.3521505376344
Hapag-Lloyd Aktiengesellschaft ,XTRA,HLAG,Industrials,1847,EU,14321,BB+,BB+,Public Company,175.8,286.03,46004.5,25330.9,18466.7,17099.5,16173.1,15682.0,8783.6,12945.4,30381.6,6251.8,18380.5,89.2,65.1,7,12973.5,10,11486.42,8,50284.074,1.8161415504383973,2.690400304102459,2.8445072373261775,3.2066143497757844
Hess Corporation ,NYSE,HES,Energy,1920,US/CA,1545,BBB-,BBB-,Public Company,308.0,124.65,45951.1,7301.0,6326.0,4757.0,3262.0,1464.0,2713.0,14678.0,20515.0,9141.0,7026.0,4.74,10.8,20,7491.5,7,5657.77,6,38392.200000000004,6.293809067251061,9.65968047088501,14.086787247087676,26.29746835443038
TE Connectivity Ltd. ,NYSE,TEL,Information Technology,2000,EU,89000,A-,A-,Public Company,319.8,132.41,45834.9,14923.0,5174.0,3702.0,2926.0,2514.0,1203.0,4222.0,21462.0,4633.0,10748.0,7.74,7.59,17,3850.8,11,3062.98,15,42344.718,3.0714266568384376,12.381118314424636,15.664695830485305,17.107235142118864
Danone S.A. ,ENXTPA,BN,Consumer Staples,1899,EU,98105,BBB+,BBB+,Public Company,639.4,53.21,45703.1,27614.0,12601.9,4795.1,3551.1,1665.3,749.5,7782.3,51654.7,18862.7,19760.0,2.56,3.43,23,4517.3,19,3397.45,18,34022.474,1.6550698920837257,9.531208942462095,12.87012475007744,20.78515625
DENSO Corporation ,TSE,6902,Consumer Discretionary,1949,APAC,167950,A+,A+,Public Company,763.4,56.64,45670.4,45419.8,5619.1,4865.1,2291.9,1666.3,7146.3,16124.0,61204.2,8624.9,36970.9,2.17,4.04,17,6559.7,12,4143.54,16,43238.976,1.0055174175139476,9.387350722492856,19.926872900213795,26.101382488479263
Baxter International Inc. ,NYSE,BAX,Health Care,1931,US/CA,60000,BBB,BBB,Public Company,503.6,59.92,45524.4,12784.0,5850.0,3254.0,2068.0,1011.0,2951.0,5808.0,33521.0,18310.0,9121.0,2.02,3.58,13,3624.8,7,2679.45,9,30175.712000000003,3.561045056320401,13.990288875230487,22.013733075435205,29.663366336633665
DTE Energy Company ,NYSE,DTE,Utilities,1903,US/CA,10400,BBB+,BBB+,Public Company,193.7,134.79,45229.7,14964.0,3414.0,2602.0,1531.0,762.0,28.0,27041.0,39719.0,18251.0,8713.0,3.94,5.91,18,3240.4,12,1870.57,12,26108.822999999997,3.022567495322106,17.382667179093005,29.542586544741997,34.210659898477154
Fortis Inc. ,TSX,FTS,Utilities,1885,US/CA,9100,A-,A-,Public Company,478.7,45.83,45141.0,7465.9,3200.2,3255.3,2022.4,1024.8,103.5,29914.1,45562.6,20513.0,16528.0,2.06,2.24,15,3596.8,13,2366.18,5,21938.821,6.04629046732477,13.866924707400239,22.320510284810126,22.247572815533978
Holcim Ltd ,SWX,HOLN,Materials,1833,EU,70000,BBB+,BBB+,Public Company,608.0,45.65,45060.5,29435.8,12734.6,6209.2,4435.1,2739.6,7329.9,26810.8,65691.5,18544.1,33427.7,4.48,4.7,16,7213.7,14,5003.95,13,27755.2,1.5308060253161118,7.257054048830767,10.15997384500913,10.189732142857142
"Corteva, Inc. ",NYSE,CTVA,Materials,2018,US/CA,21000,A-,A-,Public Company,718.6,63.24,45024.3,15655.0,6866.0,3790.0,2555.0,1722.0,4459.0,4787.0,42344.0,1576.0,25623.0,2.37,2.82,23,3214.5,16,2740.52,6,45444.264,2.8760332162248483,11.87976253298153,17.622035225048926,26.68354430379747
"Delta Air Lines, Inc. ",NYSE,DAL,Industrials,1924,US/CA,83000,BB,BB,Public Company,638.3,33.99,44595.4,29899.0,6827.0,3436.0,1716.0,600.0,7933.0,35133.0,72459.0,35779.0,3887.0,0.9420000000000001,4.78,19,6287.6,8,4296.26,14,21695.817,1.4915348339409344,12.978870779976717,25.98799533799534,36.0828025477707
FirstEnergy Corp. ,NYSE,FE,Utilities,1996,US/CA,12400,BBB-,BBB-,Public Company,571.4,40.93,44481.2,10943.0,7739.0,3724.0,2222.0,1365.0,1462.0,35023.0,45432.0,24164.0,8675.0,2.44,2.48,17,3150.3,11,2266.77,9,23387.402,4.06480855341314,11.944468313641245,20.01854185418542,16.774590163934427
Southern Copper Corporation ,NYSE,SCCO,Materials,1952,US/CA,14700,BBB+,BBB+,Public Company,773.1,50.63,44278.9,10934.1,6414.3,6132.5,5316.9,2917.6,3002.0,10380.7,18297.6,7463.9,8207.8,3.77,2.83,8,5229.3,6,3682.51,5,39142.053,4.049615423308731,7.220366897676315,8.327954259060732,13.429708222811671
Fortescue Metals Group Limited ,ASX,FMG,Materials,1983,APAC,10232,BB+,BB+,Public Company,3076.7,13.84,44231.3,22284.0,13624.0,14357.0,13067.0,8988.0,6930.0,19387.0,28383.0,4252.0,17735.0,2.92,1.82,14,9557.2,15,8280.04,14,42581.528,1.9848905043977743,3.0808177195792994,3.3849621183133087,4.739726027397261
Nucor Corporation ,NYSE,NUE,Materials,1958,US/CA,28800,A-,A-,Public Company,262.0,144.21,43998.2,36483.9,14513.4,13320.4,12375.7,9035.0,2364.9,8207.1,25823.1,5923.4,14603.8,32.5,20.8,9,9137.7,6,7676.44,7,37783.020000000004,1.2059620819046208,3.3030689769076003,3.555208998278885,4.437230769230769
"ONEOK, Inc. ",NYSE,OKE,Energy,1906,US/CA,2847,BBB,BBB,Public Company,446.9,66.65,43500.8,16540.3,4385.9,3265.8,2646.6,1576.9,146.4,19409.4,23621.6,13902.1,6015.2,3.53,4.12,15,3817.0,17,2918.46,6,29785.885000000002,2.6299885733632404,13.320105334068222,16.436484546210234,18.881019830028333
"Naturgy Energy Group, S.A. ",BME,NTGY,Utilities,1843,EU,7308,BBB,BBB,Public Company,960.9,29.63,43494.2,25179.1,5967.0,3955.7,2844.4,1345.4,4509.3,20261.6,43499.4,19119.8,10091.0,1.4,1.36,1,4326.8,2,2599.96,6,28471.466999999997,1.7273929568570758,10.995323204489724,15.291168612009562,21.164285714285715
MGM Resorts International ,NYSE,MGM,Consumer Discretionary,1986,US/CA,60500,B+,B+,Public Company,393.1,35.22,43401.9,9454.1,5846.8,2185.9,954.6,3247.4,4703.1,25928.3,40899.1,24821.3,11124.3,7.08,0.812,5,3801.6,14,895.32,10,13844.982,4.590801874319078,19.85539137197493,45.466059082338155,4.97457627118644
"EDP - Energias de Portugal, S.A. ",ENXTLS,EDP,Utilities,1976,EU,12907,BBB,BBB,Public Company,3947.1,5.15,43252.0,17039.6,5140.3,3009.5,1262.8,648.0,3664.7,25140.8,57994.0,20867.9,15896.2,0.16399999999999998,0.24,15,4238.5,17,2560.82,18,20327.565000000002,2.5383224958332358,14.371822561887356,34.250871080139376,31.40243902439025
Koninklijke Ahold Delhaize N.V. ,ENXTAM,AD,Consumer Staples,1887,EU,413000,BBB,BBB,Public Company,993.2,27.86,43030.2,85978.6,22477.6,5435.8,3594.8,2397.5,3403.8,23709.8,51986.8,19434.8,15604.5,2.37,2.44,18,7069.9,17,3535.63,17,27670.552,0.5004756997671513,7.916074910776702,11.970123511739178,11.755274261603375
Compass Group PLC ,LSE,CPG,Consumer Discretionary,1941,EU,480000,A,A,Public Company,1766.1,22.56,42894.0,24178.8,4951.8,1818.0,1435.4,964.9,2484.3,2152.2,20074.3,6050.1,6641.5,0.54,0.8440000000000001,19,2988.3,20,2070.77,18,39843.21599999999,1.7740334507916027,23.594059405940595,29.882959453810784,41.77777777777777
Yankuang Energy Group Company Limited ,SEHK,1171,Energy,1973,APAC,61864,BB,BB,Public Company,4948.7,4.03,42891.8,23925.8,8360.4,7514.1,5842.6,3262.7,7173.8,16257.5,45445.3,16177.6,15188.6,0.67,0.888,4,7736.3,9,6872.08,6,19943.261000000002,1.7927007665365424,5.708175297108103,7.341217950912265,6.014925373134329
Telstra Corporation Limited ,ASX,TLS,Communication Services,1901,APAC,28889,A-,A-,Public Company,11544.3,2.81,42853.4,14659.6,6553.7,3756.4,1725.2,1163.0,716.5,16129.9,28681.3,10041.3,11600.5,0.099,0.11800000000000001,10,5474.3,11,2304.33,11,32439.483,2.9232311932112744,11.408103503354276,24.83967076281011,28.383838383838384
International Flavors & Fragrances Inc. ,NYSE,IFF,Materials,1833,US/CA,24000,BBB,BBB,Public Company,254.9,119.06,42766.0,11656.0,4725.0,3004.0,1808.0,635.0,711.0,5156.0,39658.0,12199.0,21222.0,2.49,5.66,19,2608.0,17,1484.61,7,30348.394,3.6690116678105698,14.23635153129161,23.653761061946902,47.8152610441767
"Dollar Tree, Inc. ",NasdaqGS,DLTR,Consumer Discretionary,1986,US/CA,136226,BBB,BBB,Public Company,223.9,149.01,42667.0,26321.2,8385.7,2913.7,2164.1,1567.3,984.9,10902.6,21721.8,9970.3,7718.5,6.97,7.6,21,2970.3,14,2300.66,18,33363.339,1.621012719784812,14.643580327418746,19.715817198835545,21.378766140602583
Lonza Group AG ,SWX,LONN,Health Care,1897,EU,17154,BBB+,BBB+,Public Company,74.2,571.64,42453.8,5933.5,2369.9,1359.3,933.1,3264.3,1735.4,5149.1,18054.9,3029.8,10775.4,44.0,17.1,16,2192.9,17,1593.69,16,42415.688,7.154933850172749,31.232104759802844,45.49758868288501,12.991818181818182
"Waste Connections, Inc. ",NYSE,WCN,Industrials,1997,US/CA,19998,BBB+,BBB+,Public Company,257.1,142.39,42227.1,6151.4,2679.8,2061.3,1195.9,685.1,147.4,5882.5,14699.9,5282.0,6993.5,2.65,4.07,16,2320.1,15,1351.91,8,36608.469,6.864632441395455,20.485664386552173,35.30989213144911,53.73207547169811
VERBUND AG ,WBAG,VER,Utilities,1947,EU,3625,A,A,Public Company,347.4,112.92,42206.5,5444.6,2810.1,2393.4,1949.5,1428.1,362.3,12255.1,19460.4,3863.1,7236.4,4.11,6.46,5,3772.0,3,3307.4,3,39228.407999999996,7.7519928002057075,17.634536642433357,21.64991023339318,27.474452554744524
"Agilent Technologies, Inc. ",NYSE,A,Health Care,1999,US/CA,17000,BBB+,BBB+,Public Company,296.0,136.01,42094.0,6319.0,3610.0,1927.0,1599.0,1328.0,1484.0,1123.0,10705.0,2911.0,5389.0,4.42,5.35,16,2044.7,10,1906.97,11,40258.96,6.66149707232157,21.84431759211209,26.32520325203252,30.771493212669682
Loblaw Companies Limited ,TSX,L,Consumer Staples,1919,US/CA,220000,BBB,BBB,Public Company,327.3,91.84,42018.5,42015.3,13142.7,3431.0,2374.7,1540.5,1561.5,9974.0,28932.7,13081.1,9274.7,4.59,5.37,10,4778.2,8,3086.43,4,30059.232000000004,1.0000761627311954,12.246721072573594,17.6942350612709,20.008714596949893
LyondellBasell Industries N.V. ,NYSE,LYB,Materials,2009,US/CA,19100,BBB,BBB,Public Company,326.2,90.72,41860.4,46173.0,9079.0,8736.0,7569.0,5445.0,1472.0,16502.0,36742.0,13882.0,11988.0,16.4,15.3,21,7819.2,19,6271.22,11,29592.863999999998,0.9065990947090291,4.791712454212455,5.530506011362135,5.531707317073171
