Company,Exchange,Ticker,Industry,Year Founded,Locations,Number of Employees,S&P Credit Rating (FC LT),S&P Credit Rating (LC LT),Type,NOSH,Price ($USD),Total Enterprise Value ($USDmm),Total Revenue ($USDmm),Gross Profit ($USDmm),EBITDA ($USDmm),EBIT ($USDmm),Net Income ($USDmm),Cash And Equivalents ($USDmm),"Net Property, Plant & Equipment ($USDmm)",Total Assets ($USDmm),Total Debt ($USDmm),Total Equity ($USDmm),Basic EPS ($USD),EPS - Capital IQ ($USD),EPS - # of Estimates Y+1,EBITDA Estimate ($USDmm),EBITDA - # of Estimates Y+1,EBIT Estimate ($USDmm),EBIT - # of Estimates Y+1,Market Cap ($USDmm),TEV/Revenue,TEV/EBITDA,TEV/EBIT,P/E
Caterpillar Inc. ,NYSE,CAT,Industrials,1925,US/CA,107700,A,A,Public Company,527.9,198.88,136112.6,50971.0,13511.0,10492.0,8288.0,6756.0,8428.0,8797.0,82793.0,38446.0,16516.0,12.6,13.3,27,10253.6,11,8663.81,16,104988.752,2.6703929685507446,12.9729889439573,16.422852316602317,15.784126984126985
Intuit Inc. ,NasdaqGS,INTU,Information Technology,1983,US/CA,13500,A-,A-,Public Company,282.1,465.85,135580.6,12726.0,10460.0,3177.0,2571.0,2066.0,2796.0,1437.0,27734.0,7456.0,16441.0,7.38,13.8,17,5521.4,6,5289.96,17,131416.285,10.653826811252554,42.67566887000315,52.73457798521976,63.12330623306234
China State Construction Engineering Corporation Limited ,SHSE,601668,Industrials,1982,APAC,368327,A,A,Public Company,41940.9,0.731,132156.7,297726.8,34432.4,18552.3,17048.2,8413.0,51547.5,8350.0,375948.3,96466.4,100699.3,0.204,0.207,10,20785.3,8,17894.11,9,30658.7979,0.4438858040324217,7.123467171186323,7.751944486807992,3.5833333333333335
Siemens Aktiengesellschaft ,XTRA,SIE,Industrials,1847,EU,308000,A+,A+,Public Company,791.6,104.92,129839.8,72166.2,25594.8,10208.0,7545.5,2288.3,11062.8,12665.7,161808.1,56444.1,57109.4,2.85,10.6,13,16182.6,17,9821.34,12,83054.672,1.7991774542652932,12.719416144200627,17.207580677224836,36.8140350877193
Lockheed Martin Corporation ,NYSE,LMT,Industrials,1912,US/CA,114000,A-,A-,Public Company,265.2,438.64,126175.4,67044.0,8589.0,7152.0,5961.0,4705.0,3604.0,8897.0,50873.0,13102.0,10959.0,17.4,27.4,4,9984.6,8,8651.39,14,116327.328,1.881978998866416,17.641974272930646,21.16681764804563,25.209195402298853
Petróleo Brasileiro S.A. - Petrobras ,BOVESPA,PETR4,Energy,1953,LATAM,45532,BB-,BB-,Public Company,13044.2,6.5,126056.2,81244.1,55288.7,57237.5,50833.7,30879.5,10483.3,125528.3,174623.7,58836.3,69921.4,2.37,2.5,4,60794.5,15,55038.0,14,84787.3,1.5515735911900064,2.2023358811967677,2.479776211450278,2.742616033755274
China Petroleum & Chemical Corporation ,SEHK,386,Energy,2000,APAC,385691,A+,A+,Public Company,121071.2,0.487,124395.4,431239.2,86481.6,35443.9,18935.9,11951.6,34944.6,147945.4,297398.7,49668.0,144199.4,0.099,0.085,14,33182.5,15,15195.07,16,58961.674399999996,0.2884603254991661,3.5096419976357,6.569289022438859,4.919191919191919
"Iberdrola, S.A. ",BME,IBE,Utilities,1840,EU,39737,BBB+,BBB+,Public Company,6238.6,10.97,124331.6,44483.1,19260.9,12661.5,8373.4,4629.9,4586.6,92648.7,161210.1,50419.7,63830.3,0.7040000000000001,0.675,16,12899.6,21,7768.27,22,68437.44200000001,2.795030022637811,9.819658018402244,14.848400888527959,15.582386363636363
Sony Group Corporation ,TSE,6758,Consumer Discretionary,1946,APAC,108900,A,A,Public Company,1236.9,84.2,123388.2,81702.9,20507.3,14367.2,8376.5,6538.7,9556.6,12571.8,251008.5,27662.3,59536.9,5.28,4.94,17,13845.0,17,9433.41,20,104146.98000000001,1.51020588008504,8.588186981457765,14.730281143675759,15.946969696969697
Diageo plc ,LSE,DGE,Consumer Staples,1886,EU,28558,A-,A-,Public Company,2276.1,45.53,122626.8,18776.4,11518.3,6277.4,5841.2,3948.0,2776.6,7106.1,44372.1,20388.8,11560.8,1.7,2.02,22,6983.8,16,6317.16,19,103630.833,6.530900492107113,19.534648102717686,20.993426008354447,26.782352941176473
