Date;Close
30/12/1927;17.65999985
03/01/1928;17.76000023
04/01/1928;17.71999931
05/01/1928;17.54999924
06/01/1928;17.65999985
09/01/1928;17.5
10/01/1928;17.37000084
11/01/1928;17.35000038
12/01/1928;17.46999931
13/01/1928;17.57999992
16/01/1928;17.29000092
17/01/1928;17.29999924
18/01/1928;17.26000023
19/01/1928;17.37999916
20/01/1928;17.47999954
23/01/1928;17.63999939
24/01/1928;17.70999908
25/01/1928;17.52000046
26/01/1928;17.62999916
27/01/1928;17.69000053
30/01/1928;17.48999977
31/01/1928;17.56999969
01/02/1928;17.53000069
02/02/1928;17.62999916
03/02/1928;17.39999962
06/02/1928;17.45000076
07/02/1928;17.44000053
08/02/1928;17.48999977
09/02/1928;17.54999924
10/02/1928;17.54000092
14/02/1928;17.44000053
15/02/1928;17.39999962
16/02/1928;17.35000038
17/02/1928;17.04000092
20/02/1928;16.95000076
21/02/1928;17.11000061
23/02/1928;17.12999916
24/02/1928;17.18000031
27/02/1928;17.11000061
28/02/1928;17.15999985
29/02/1928;17.26000023
01/03/1928;17.29999924
02/03/1928;17.29999924
05/03/1928;17.56999969
06/03/1928;17.67000008
07/03/1928;17.57999992
08/03/1928;17.63999939
09/03/1928;17.93000031
12/03/1928;18
13/03/1928;17.92000008
14/03/1928;17.93000031
15/03/1928;18.06999969
16/03/1928;18.26000023
19/03/1928;18.36000061
20/03/1928;18.45999908
21/03/1928;18.64999962
22/03/1928;18.60000038
23/03/1928;18.78000069
26/03/1928;19.04999924
27/03/1928;18.94000053
28/03/1928;18.88999939
29/03/1928;18.95000076
30/03/1928;19.28000069
02/04/1928;18.90999985
03/04/1928;19.02000046
04/04/1928;18.98999977
05/04/1928;19.22999954
09/04/1928;19.27000046
10/04/1928;19.10000038
11/04/1928;19.44000053
12/04/1928;19.40999985
13/04/1928;19.72999954
16/04/1928;19.68000031
17/04/1928;19.52000046
18/04/1928;19.52000046
19/04/1928;19.62999916
20/04/1928;19.34000015
23/04/1928;19.14999962
24/04/1928;19.25
25/04/1928;19.32999992
26/04/1928;19.46999931
27/04/1928;19.68000031
30/04/1928;19.75
01/05/1928;19.78000069
02/05/1928;19.82999992
03/05/1928;19.93000031
04/05/1928;20.23999977
07/05/1928;20.40999985
08/05/1928;20.27000046
09/05/1928;20.23999977
10/05/1928;20.20999908
11/05/1928;20.36000061
14/05/1928;20.44000053
15/05/1928;20.38999939
16/05/1928;20.04999924
17/05/1928;20.12000084
18/05/1928;19.92000008
21/05/1928;19.62999916
22/05/1928;19.36000061
23/05/1928;19.75
24/05/1928;19.87000084
25/05/1928;19.89999962
28/05/1928;19.56999969
29/05/1928;19.81999969
31/05/1928;20
01/06/1928;20.06999969
04/06/1928;19.79999924
05/06/1928;19.85000038
06/06/1928;19.65999985
07/06/1928;19.61000061
08/06/1928;19.37000084
11/06/1928;18.68000031
12/06/1928;18.34000015
13/06/1928;18.88999939
14/06/1928;19.04999924
15/06/1928;18.73999977
18/06/1928;18.39999962
